14/10/13,ASIATRAVEL.COM HOLDINGSW140717,        ,SGD ,0.01,0.01,0.01,0.008,221000,0.01,0.07,CATALIST     ,0.01,2210,5VEW
14/10/13,ASIATRAVEL.COM HOLDINGSW160715,        ,SGD ,0,0,0.002,0,0,0.01,0.03,CATALIST     ,0,0,5VFW
14/10/13,ASJ HOLDINGS LTD              ,        ,SGD ,0,0,0.04,0,0,0.041,0.05,SGX MAINBOARD,0,0,538
14/10/13,ASL MARINE HOLDINGS LTD       ,CD      ,SGD ,0.675,0.66,0.665,-0.01,36000,0.66,0.675,SGX MAINBOARD,0.675,23835,A04 
14/10/13,ASPIAL CORPORATION LIMITED    ,        ,SGD ,0.4,0.4,0.4,0,91000,0.4,0.405,SGX MAINBOARD,0.4,36400,A30 
14/10/13,ASTI HOLDINGS LIMITED         ,        ,SGD ,0.066,0.063,0.066,0.002,1505000,0.064,0.066,SGX MAINBOARD,0.063,96735,575
14/10/13,ATLANTIC NAVIGATION HLDG(S)LTD,        ,SGD ,0,0,0.35,0,0,0.335,0.415,CATALIST     ,0,0,5UL 
14/10/13,AURIC PACIFIC GROUP LIMITED   ,        ,SGD ,1.445,1.42,1.445,-0.015,5000,1.415,1.445,SGX MAINBOARD,1.42,7125,A23 
14/10/13,AUSGROUP LIMITED              ,        ,SGD ,0.29,0.265,0.28,-0.045,7950000,0.28,0.285,SGX MAINBOARD,0.27,2241720,5GJ 
14/10/13,AUSSINO GROUP LTD             ,        ,SGD ,0.08,0.071,0.072,-0.008,5062000,0.072,0.074,SGX MAINBOARD,0.08,374625,A15 
14/10/13,AVI-TECH ELECTRONICS LIMITED  ,        ,SGD ,0.071,0.071,0.071,0,200000,0.07,0.074,SGX MAINBOARD,0.071,14200,CT1 
14/10/13,AVIC INTL MARITIME HLDGLIMITED,        ,SGD ,0,0,0.186,0,0,0.18,0.191,SGX MAINBOARD,0,0,O2I 
14/10/13,AVJENNINGS LIMITED            ,        ,AUD ,0.6,0.56,0.56,-0.01,10000,0.56,0.62,GLOBALQUOTE  ,0.585,5905,A05 
14/10/13,AZEUS SYSTEMS HOLDINGS LTD.   ,        ,SGD ,0.137,0.136,0.136,0.006,10000,0.136,0.155,SGX MAINBOARD,0.137,1365,A69 
14/10/13,AZTECH GROUP LTD.             ,        ,SGD ,0.102,0.096,0.1,0.002,1083000,0.1,0.102,SGX MAINBOARD,0.096,109428,560
14/10/13,BAIDU.COM ADR 10              ,        ,USD ,0,0,156,0,0,0,0,GLOBALQUOTE  ,0,0,K3SD
14/10/13,BAKER TECHNOLOGY LIMITED      ,        ,SGD ,0.265,0.26,0.26,-0.005,849000,0.26,0.265,SGX MAINBOARD,0.265,221560,568
14/10/13,BAKER TECHNOLOGY LTD W150605  ,        ,SGD ,0,0,0.106,0,0,0.101,0,SGX MAINBOARD,0,0,QN7W
14/10/13,BAN LEONG TECHNOLOGIES LIMITED,        ,SGD ,0,0,0.18,0,0,0.18,0.23,SGX MAINBOARD,0,0,B26 
14/10/13,BANYAN TREE HOLDINGS LIMITED  ,        ,SGD ,0.68,0.67,0.67,-0.01,91000,0.67,0.68,SGX MAINBOARD,0.67,61230,B58 
14/10/13,BBR HOLDINGS (S) LTD          ,        ,SGD ,0.255,0.255,0.255,0,14000,0.255,0.26,SGX MAINBOARD,0.255,3570,KJ5 
14/10/13,BENG KUANG MARINE LIMITED     ,        ,SGD ,0.099,0.09,0.093,-0.005,236000,0.093,0.111,SGX MAINBOARD,0.099,21631,5MC 
14/10/13,BERGER INTERNATIONAL LIMITED  ,        ,SGD ,0,0,0.245,0,0,0.245,0.25,SGX MAINBOARD,0,0,B64 
14/10/13,BEST WORLD INTERNATIONAL LTD  ,        ,SGD ,0,0,0.186,0,0,0.18,0.186,SGX MAINBOARD,0,0,5ER 
14/10/13,BH GLOBAL CORPORATION LIMITED ,        ,SGD ,0.123,0.123,0.123,-0.007,23000,0.093,0.149,SGX MAINBOARD,0.123,2829,B32 
14/10/13,BIOSENSORS BP ECW140103       ,        ,SGD ,0,0,0.014,0,0,0,0,SGX MAINBOARD,0,0,S2HW
14/10/13,BIOSENSORS BP ECW140402       ,        ,SGD ,0,0,0.018,0,0,0,0,SGX MAINBOARD,0,0,SJ8W
14/10/13,BIOSENSORS BP ECW140702       ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T4TW
14/10/13,"BIOSENSORS INT'L GROUP, LTD.  ",        ,SGD ,0.955,0.945,0.955,0,353000,0.95,0.955,SGX MAINBOARD,0.955,335160,B20 
14/10/13,BIOSENSORS INT'L GROUP.ES.1310,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T2J 
14/10/13,BIOSENSORS MB ECW131202       ,        ,SGD ,0,0,0.003,0,0,0,0,SGX MAINBOARD,0,0,RY6W
14/10/13,BIOSENSORS MB ECW140303       ,        ,SGD ,0,0,0.034,0,0,0,0,SGX MAINBOARD,0,0,SH6W
14/10/13,BIOSENSORS MB ECW140401       ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T1AW
14/10/13,BIOSENSORS MB ECW150102       ,        ,SGD ,0,0,0.049,0,0,0,0,SGX MAINBOARD,0,0,ST8W
14/10/13,BLUMONT GROUP LTD.            ,        ,SGD ,0.17,0.136,0.147,-0.024,35100000,0.145,0.147,SGX MAINBOARD,0.17,5113246,A33 
14/10/13,BOARDROOM LIMITED             ,        ,SGD ,0,0,0.605,0,0,0.58,0.62,SGX MAINBOARD,0,0,B10 
14/10/13,BOMBAY RAYON FASHIONS LTD GDR ,        ,USD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,J0I 
14/10/13,BONVESTS HOLDINGS LTD         ,        ,SGD ,1.185,1.18,1.185,0.005,63000,1.18,1.185,SGX MAINBOARD,1.18,74575,B28 
14/10/13,BOUSTEAD SINGAPORE LIMITED    ,        ,SGD ,1.375,1.36,1.37,-0.005,130000,1.37,1.375,SGX MAINBOARD,1.375,178365,F9D 
14/10/13,BRC ASIA LIMITED              ,        ,SGD ,0.195,0.194,0.195,-0.002,91000,0.192,0.196,SGX MAINBOARD,0.195,17734,B03 
14/10/13,BREADTALK GROUP LIMITED       ,        ,SGD ,0.935,0.91,0.915,-0.015,165000,0.91,0.915,SGX MAINBOARD,0.935,152725,5DA 
14/10/13,BRIGHT ORIENT (HOLDING) LTD.  ,SUSP    ,SGD ,0,0,0.04,0,0,0,0,CATALIST     ,0,0,5DT 
14/10/13,BRITISH & MALAYAN TRUSTEES LTD,CD      ,SGD ,0,0,4.75,0,0,4.35,4.95,SGX MAINBOARD,0,0,B08 
14/10/13,BROADWAY INDUSTRIAL GROUP LTD ,        ,SGD ,0.225,0.215,0.215,-0.01,70000,0.215,0.235,SGX MAINBOARD,0.225,15645,B69 
14/10/13,BUKIT SEMBAWANG ESTATES LTD   ,        ,SGD ,6.14,6.13,6.13,-0.02,4000,6.08,6.13,SGX MAINBOARD,6.14,24530,B61 
14/10/13,BUMITAMA AGRI LTD.            ,        ,SGD ,0.99,0.99,0.99,0,60000,0.99,1,SGX MAINBOARD,0.99,59400,P8Z 
14/10/13,BUND CENTER INVESTMENT LTD    ,        ,SGD ,0.215,0.21,0.21,-0.01,41000,0.21,0.22,SGX MAINBOARD,0.215,8615,MQ4 
14/10/13,C&G ENV PROTECT HLDGS LTD     ,        ,SGD ,0.088,0.088,0.088,-0.001,103000,0.088,0.09,SGX MAINBOARD,0.088,9064,D79 
14/10/13,CACHE LOGISTICS TRUST         ,        ,SGD ,1.185,1.155,1.165,-0.02,2229000,1.16,1.165,SGX MAINBOARD,1.185,2595720,K2LU
14/10/13,CACOLA FURNITURE INTL LIMITED ,        ,SGD ,0.033,0.031,0.031,-0.001,2682000,0.031,0.033,SGX MAINBOARD,0.032,84859,D2U 
14/10/13,CAMBRIDGE INDUSTRIAL TRUST    ,        ,SGD ,0.68,0.675,0.675,-0.005,148000,0.675,0.68,SGX MAINBOARD,0.68,100240,J91U
14/10/13,CAPITACOMMERCIAL TRUST        ,        ,SGD ,1.445,1.415,1.42,-0.01,3498000,1.42,1.435,SGX MAINBOARD,1.42,4992385,C61U
14/10/13,CAPITALAND BP ECW140103       ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,S2MW
14/10/13,CAPITALAND BP ECW140103A      ,        ,SGD ,0,0,0.036,0,0,0.031,0,SGX MAINBOARD,0,0,SH1W
14/10/13,CAPITALAND LIMITED            ,        ,SGD ,3.16,3.11,3.13,-0.03,4072000,3.13,3.14,SGX MAINBOARD,3.15,12748196,C31 
14/10/13,CAPITALAND LIMITED.ES.1310    ,        ,SGD ,0,0,3.17,0,0,0,0,SGX MAINBOARD,0,0,T2L 
14/10/13,CAPITALAND MB ECW131202       ,        ,SGD ,0,0,0.009,0,0,0,0,SGX MAINBOARD,0,0,Q7YW
14/10/13,CAPITALAND MB ECW131202A      ,        ,SGD ,0.023,0.021,0.021,-0.006,3000000,0,0,SGX MAINBOARD,0.023,66000,SP4W
14/10/13,CAPITALAND MB ECW140303       ,        ,SGD ,0.028,0.028,0.028,-0.004,1000000,0,0,SGX MAINBOARD,0.028,28000,SP2W
14/10/13,CAPITALAND MB ECW140401       ,        ,SGD ,0,0,0.079,0,0,0,0,SGX MAINBOARD,0,0,T0DW
14/10/13,CAPITALAND MB ECW140602       ,        ,SGD ,0,0,0.018,0,0,0,0,SGX MAINBOARD,0,0,RP0W
14/10/13,CAPITALAND MB ECW140603       ,        ,SGD ,0,0,0.06,0,0,0,0,SGX MAINBOARD,0,0,T4FW
14/10/13,CAPITALAND MB ECW150102       ,        ,SGD ,0,0,0.042,0,0,0.04,0,SGX MAINBOARD,0,0,SR0W
14/10/13,CAPITALAND MB EPW140203       ,        ,SGD ,0,0,0.051,0,0,0,0,SGX MAINBOARD,0,0,SP3W
14/10/13,CAPITALAND MB EPW140604       ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T5JW
14/10/13,CAPITAMALL TRUST              ,        ,SGD ,1.97,1.94,1.96,-0.005,1662000,1.955,1.96,SGX MAINBOARD,1.965,3249865,C38U
14/10/13,CAPITAMALL TRUST.ES.1310      ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T2K 
14/10/13,CAPITAMALLASTRS$400M3.8%220112,        ,SGD ,1.029,1.026,1.027,0.001,40000,1.026,1.027,SGX MAINBOARD,1.026,41075,PW3Z
14/10/13,CAPITAMALLS ASIA LIMITED      ,        ,SGD ,1.98,1.96,1.97,0,1446000,1.97,1.975,SGX MAINBOARD,1.97,2846955,JS8 
